ObjectId	Longitude	Latitude	Name	Address_1	Address_2	City	State	Zip	9	10	11	County	Type		
	-81.632122	30.489626	NAVY FEDERAL CREDIT UNION AIRPORT CENTER	550 AIRPORT CENTER DR		JACKSONVILLE	FL	32218				Duval	BANK		
	-81.678174	30.320406	JAX FEDERAL CREDIT UNION PARK	562 PARK ST		JACKSONVILLE	FL	32204				Duval	BANK		
	-81.656548	30.331107	COMMUNITY FIRST CREDIT UNION N MAIN	623 N MAIN ST		JACKSONVILLE	FL	32202				Duval	BANK		
	-81.697734	30.234244	BB&T BANK (ROOSEVELT)	6319 ROOSEVELT BLVD		JACKSONVILLE	FL	32244				Duval	BANK		
	-81.592498	30.312613	REGIONS BANK ATLANTIC	6524 ATLANTIC BLVD		JACKSONVILLE	FL	32211				Duval	BANK		
	-81.752962	30.305729	WELLS FARGO NORMANDY	6545 NORMANDY BLVD		JACKSONVILLE	FL	32205				Duval	BANK		
	-81.548302	30.326248	VYSTAR COMMERCE CNTR	686 COMMERCE CENTER DR		JACKSONVILLE	FL	32225				Duval	BANK		
	-81.585657	30.237188	CHASE BANK	7301 BAYMEADOWS WAY		JACKSONVILLE	FL	32256				Duval	BANK		
	-81.604804	30.483747	REGIONS BANK DUVAL STATION	751 DUVAL STATION RD		JACKSONVILLE	FL	32218				Duval	BANK		
	-81.775067	30.295567	VYSTAR NORMANDY	7765 NORMANDY BLVD		JACKSONVILLE	FL	32221				Duval	BANK		
	-81.775755	30.295162	BANK OF AMERICA NORMANDY	7770 NORMANDY BLVD		JACKSONVILLE	FL	32221				Duval	BANK		
	-81.765831	30.248297	VYSTAR 103RD ST	7795 103RD ST		JACKSONVILLE	FL	32210				Duval	BANK		
