OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
895,33.892962810591484,-84.05566733684577,Five Forks Library Branch,2780 Five Forks Trickum Road,,Lawrenceville,GA,30044,,,,,
896,33.69143418319874,-84.25886471462422,Flat Shoals Library Branch,4022 Flat Shoals Parkway,,Decatur,GA,30034,,,,,
897,33.6232136630303,-84.36847519575736,Forest Park Library Branch,4812 West Street,,Forest Park,GA,30297,,,,,
898,33.38288352029406,-84.27443940377304,Fortson Public Library Branch,61 McDonough St,,Hampton,GA,30228,,,,,
899,33.736863448918314,-84.37954241533441,Georgia Hill Library Branch,"250 Georgia Avenue, S.E.",,Atlanta,GA,30312,,,,,
900,33.848313467634,-84.3154021411388,Georgia Library For Accessible Services,1800 Century Place,,Atlanta,GA,30345,,,,,
901,33.88723663784697,-83.96455383337644,Grayson Library Branch,700 Grayson Parkway,,Grayson,GA,30017,,,,,
902,33.7176022732678,-84.31025566802765,Gresham Library,"2418 Gresham Road, N.E.",,Atlanta,GA,30316,,,,,
903,34.02520990816106,-84.52409066024092,Gritters Library Branch,880 Shaw Park Road,,Marietta,GA,30066,,,,,
904,33.75994644405051,-84.19234905630526,Hairston Crossing Library Branch,4911 Redan Road,,Stone Mountain,GA,30088,,,,,
905,34.06944137205778,-83.90326308070377,Hamilton Mill Library Branch,3690 Braselton Highway,,Dacula,GA,30019,,,,,
906,33.658583421490334,-84.40531239130053,Hapeville Branch Library Branch,525 King Arnold Street,,Hapeville,GA,30354,,,,,
907,33.55430373424565,-84.36293144870581,Headquarters Library of the Clayton County Library System,865 Battle Creek Road,,Jonesboro,GA,30236,,,,,
908,34.171624496565926,-84.42179085042488,Hickory Flat Public Library Branch,2740 East Cherokee Drive,,Canton,GA,30115,,,,,
909,33.52270469756559,-84.35695008661912,Jonesboro Library Branch,124 Smith Street,,Jonesboro,GA,30236,,,,,
910,34.02425526978277,-84.61585200496359,Kennesaw Library Branch,2250 Lewis Street,,Kennesaw,GA,30144,,,,,
911,33.96645577158091,-84.66985806350277,Kemp Memorial Library Branch,4029 Due West Road,,Marietta,GA,30064,,,,,
912,33.75155281198897,-84.32149659833999,Kirkwood Branch Library Branch,11 Kirkwood Road N.E.,,Atlanta,GA,30317,,,,,
913,33.94212529116584,-84.01317862497149,Lawrenceville Branch - Gwinnett County Public Library System,1001 Lawrenceville Highway,,Lawrenceville,GA,30046,,,,,
914,33.84429996048891,-84.49460621998708,Lewis A. Ray Library Branch,4500 Oakdale Road,,Smyrna,GA,30080,,,,,
915,33.90290879573064,-84.14525414167264,Lilburn Library Branch,788 Hillcrest Road NW,,Lilburn,GA,30047,,,,,
916,33.78520172441819,-84.65942113699634,Lithia Springs Public Library,7100 Turner Drive,,Lithia Springs,GA,30122,,,,,
917,33.712333435489995,-84.10930007868546,Lithonia - Davidson Library Branch,6821 Church Street,,Lithonia,GA,30058,,,,,
918,33.3308814796946,-84.08573650002461,Locust Grove Public Library Branch,115 Locust Grove - Griffin Road,,Locust Grove,GA,30248,,,,,
919,33.758730926721285,-84.37388867502096,Martin Luther King Jr. Branch,409 John Wesley Dobbs Avenue,,Atlanta,GA,30312,,,,,
920,33.4420231447084,-84.12675630527065,McDonough Public Library,1001 Florence McGarity Boulevard,,McDonough,GA,30252,,,,,
921,33.74349014758491,-84.39550933966547,Mechanicsville Branch,400 Formwalt Street SW,,Atlanta,GA,30312,,,,,
922,33.58452063676691,-84.31351809401792,Morrow Branch Library Branch,6225 Maddox Road,,Morrow,GA,30260,,,,,
923,33.84694257874912,-84.12191268793083,Mountain Park Library Branch,1210 Pounds Road S.W.,,Lilburn,GA,30047,,,,,
924,34.03126014891211,-84.46684995376762,Mountain View Regional Library,3320 Sandy Plains Road,,Marietta,GA,30066,,,,,
925,33.66583478085238,-84.01811391350213,Nancy Guinn Library - Rockdale County Library System,864 Green Street,,Conyers,GA,30012,,,,,
926,34.01490584980746,-84.22284565949974,Northeast Spruill Oaks Library Branch,9560 Spruill Road,,Johns Creek,GA,30022,,,,,
927,33.8410276943402,-84.261310903979,Northlake - Barbara Loar Library,3772 LaVista Road,,Tucker,GA,30084,,,,,
928,33.84597979048385,-84.42731066240935,Northside Library Branch,3295 Northside Parkway,,Atlanta,GA,30327,,,,,
929,34.06349749545194,-84.20981031726592,Ocee Branch,5090 Abbotts Bridge Road,,Johns Creek,GA,30005,,,,,
930,33.93369265132236,-84.2179712899433,Norcross Library Branch,6025 Buford Highway,,Norcross,GA,30070,,,,,
931,33.398728206037276,-84.58310721939984,Peachtree City Library Branch,201 Willowbend Road,,Peachtree City,GA,30269,,,,,
932,33.97018010300235,-84.22492121780192,Peachtree Corners Library Branch,5570 Spalding Drive,,Norcross,GA,30092,,,,,
933,33.79053009483471,-84.3848825567569,Peachtree Library Branch,"1315 Peachtree Street, N.E.",,Atlanta,GA,30309,,,,,
934,33.812639251161954,-84.46955449519345,Perry Homes Branch,"2121 Hollywood Road, NW",,Atlanta,GA,30318,,,,,
935,33.77396031319853,-84.35489389841757,Ponce de Leon Library Branch,980 Ponce de Leon Avenue,,Atlanta,GA,30306,,,,,
936,33.857290466419215,-84.67604017480011,Powder Springs Library Branch,"4181 Atlanta Street, Building 1",,Powder Springs,GA,30127,,,,,
937,34.23749204718143,-84.46932389853521,R.T. Jones Memorial Library/HeadquartersLibrary H,116 Brown Industrial Parkway,,Canton,GA,30114,,,,,
938,33.556346601184714,-84.37727676580533,Riverdale Library Branch,420 Valley Hill Road,,Riverdale,GA,30274,,,,,
939,34.128560874054244,-84.57117847213573,Rose Creek Public Library,4476 Towne Lake Parkway,,Woodstock,GA,30189,,,,,
940,34.02529372776797,-84.35814371631756,Roswell Library Branch,115 Norcross Street,,Roswell,GA,30075,,,,,
941,33.67841904187196,-84.17803013153298,Salem - Panola Library,5137 Salem Road,,Lithonia,GA,30038,,,,,
942,33.924250910243984,-84.37482154256588,Sandy Springs Regional Library,395  Mt. Vernon Highway,,Atlanta,GA,30328,,,,,
943,33.73487246993824,-84.28591293780045,Scott Candler Library Branch,1917 Candler Road,,Decatur,GA,30032,,,,,
944,33.80980460066678,-84.39319131086455,Shepherd Center - Learning Resource Center,2020 Peachtree Road NW,,Atlanta,GA,30309,,,,,
945,33.91502165146596,-84.54764192488835,Sibley Library Branch,1539 South Cobb Drive,,Marietta,GA,30060,,,,,
946,33.885810656141985,-84.51685804502324,Smyrna City Library,100 Village Green Circle,,Smyrna,GA,30080,,,,,
947,33.825680980504956,-84.57863578339891,South Cobb Regional Library,805 Clay Road,,Mableton,GA,30126,,,,,
948,33.58721993883893,-84.5209108308477,South Fulton Library Branch,"4055 Flat Shoals Road, S.W.",,Union City,GA,30291,,,,,
949,33.72367110172428,-84.50862007461882,Southwest Regional Library Branch,3665 Cascade Road,,Atlanta,GA,30331,,,,,
950,33.69738344174374,-84.41170280037602,Stewart Lakewood Library Branch,2893 Lakewood Avenue,,Atlanta,GA,30315,,,,,
951,33.69320711227749,-84.11039972214235,Stonecrest Library,3123 Klondike Road,,Lithonia,GA,30038,,,,,
952,33.92637941574134,-84.57202389057358,Stratton Library Branch,1100 Powder Springs Road,,Marietta,GA,30064,,,,,
953,33.80638236685172,-84.17118668312366,Sue Kellogg Library,952 Leon Street,,Stone Mountain,GA,30083,,,,,
954,34.0568993596508,-84.06744555058015,Suwanee Public Library,361 Main Street,,Suwanee,GA,30024,,,,,
955,33.832146444276646,-84.65428116224803,Sweetwater Valley Library Branch,"5000 Austell Powder Springs Rd, #123",,Austell,GA,30106,,,,,
956,33.95072737316349,-84.54476071966621,Switzer Branch Library - Cobb County Libraries,266 Roswell Street,,Marietta,GA,30060,,,,,
957,33.547964206937195,-84.23458370507774,The Cochran Public Library,174 Burke Street,,Stockbridge,GA,30281,,,,,
958,33.70378346593901,-84.35488647228397,Thomasville Library Branch,1700 Thomasville Drive,,Atlanta,GA,30315,,,,,
959,33.808671327632624,-84.30764837944679,Toco Hill-Avis G. Williams Library,1282 McConnell Drive,,Decatur,GA,30033,,,,,
960,33.85718343164706,-84.21035439031192,Tucker-Reid H. Cofer Library Branch,5234 LaVista Road,,Tucker,GA,30084,,,,,
961,33.47703233694551,-84.59566539826614,Tyrone Public Library,143 Commerce Drive,,Tyrone,GA,30290,,,,,
962,33.863630247638355,-84.46482634191807,Vinings Library Branch,4290 Paces Ferry Road,,Atlanta,GA,30339,,,,,
963,33.754076406098136,-84.42427955428218,Washington Park Library Branch,"1116 M.L. King, Jr. Drive",,Atlanta,GA,30314,,,,,
964,33.703985857269004,-84.22081036866564,Wesley Chapel - William C. Brown Library,2861 Wesley Chapel Road,,Decatur,GA,30034,,,,,
965,33.998540982894156,-84.70242868653474,West Cobb Regional Library,1750 Dennis Kemp Lane,,Kennesaw,GA,30152,,,,,
966,33.74076640523913,-84.42061926723903,West End Library Branch,525 Peeples Street S.W.,,Atlanta,GA,30310,,,,,
967,34.11310512441128,-84.51527038306517,Woodstock Public Library,7735 Main Street,,Woodstock,GA,30188,,,,,
968,34.108629678329066,-84.27894219950656,Alpharetta Adult Activity Center -Alpharetta Rec & Parks Department,13450  Cogburn Road,,Alpharetta,GA,30004,,,,,
969,33.751404716389345,-84.37487782731876,Butler Park - City of Atlanta Parks and Recreation,"98 William Holmes Borders Drive, SE",,Atlanta,GA,30312,,,,,
970,34.115241881774466,-84.51257325914827,Cherokee County Recreation & Parks Authority,7545 North Main Street; Building 200,,Woodstock,GA,30188,,,,,
971,33.774435345341885,-84.2942111839186,City of Decatur Parks and Recreation - Active Living,231 Sycamore Street,,Decatur,GA,30030,,,,,
972,33.76264953765798,-84.38771517609092,City of Atlanta Bureau of Recreation,"233 Peachtree Street, NE",,Atlanta,GA,30308,,,,,
973,33.573744760595105,-84.59672762677832,Clarence Duncan Park - City of Fairburn,6000 Rivertown Road,,Fairburn,GA,30213,,,,,
974,33.85486351564202,-84.22054192076456,Dekalb County Parks -Tucker Recreation Ctr,4898 Lavista Road,,Tucker,GA,30084,,,,,
975,33.77455694437583,-84.29903934776547,"DeKalb County Parks, Recreation & Cultural Affairs",1300 Commerce Drive; Suite 300,,Decatur,GA,30030,,,,,
976,33.90651500899406,-84.2636845016711,Doraville Recreation Department,3037 Pleasant Valley Road,,Doraville,GA,30340,,,,,
977,33.74727952562955,-84.68288211594586,Douglas County Parks and Recreation - Deer Lick Park,2105 Mack Road,,Douglasville,GA,30135,,,,,
978,34.00084729553919,-84.12175740630369,Duluth Parks and Recreation,3180 Bunten Road,,Duluth,GA,30096,,,,,
979,33.682476351968546,-84.4360165472479,East Point Parks & Recreation - Jefferson Park Recreation Center,1431 Norman Berry Drive,,East Point,GA,30344,,,,,
980,33.73983057993388,-84.77059064514134,Douglasville Parks and Recreation,"Hunter Park Community Center
8830 Gurley Road",,Douglasville,GA,30134,,,,,
981,33.42333853133954,-84.46883386026587,Fayette County Recreation Department,980 Redwine Road,,Fayetteville,GA,30215,,,,,
982,33.61592953534296,-84.36809341974941,Forest Park Parks & Recreation,5087 Park Avenue,,Forest Park,GA,30297,,,,,
983,33.914687057664366,-84.08483725815273,Gwinnett County Parks and Recreation / Bethesda Park Senior Center,225 Bethesda Church Road,,Lawrenceville,GA,30044,,,,,
